[2013-05-18 13:14] [TOW] James_Lopez started towing vehicle #2305, owned by false, from Market (pos = 1058.25, -1324.251953125, 13.463481903076, rot = 4.921875, 359.86267089844, 0.087890625, health = 1000.2442626953)
[2013-05-18 13:14] [TOW STOP] James_Lopez stopped towing vehicle #2305, owned by false, in Market (pos = 1058.25390625, -1324.2138671875, 13.513321876526, rot = 0.0494384765625, 0.076904296875, 0.098876953125, health = 1000.2442626953)
[2013-05-18 13:14] [TOW] James_Lopez started towing vehicle #2305, owned by false, from Market (pos = 1058.31640625, -1324.1552734375, 13.527994155884, rot = 0.703125, 359.52209472656, 357.51159667969, health = 1000.2442626953)
[2013-05-18 13:14] [TOW STOP] James_Lopez stopped towing vehicle #2305, owned by false, in Market (pos = 1058.291015625, -1324.8515625, 13.514701843262, rot = 0.0164794921875, 0.010986328125, 357.59399414063, health = 1000.2442626953)
[2013-05-18 13:28] [TOW] Nate_Miller started towing vehicle #8755, owned by Jonathan Chaplin, from East Los Santos (pos = 2301.3056640625, -1459.6552734375, 20.886896133423, rot = 1.7742919921875, 15.4248046875, 307.66662597656, health = 803.9072265625)
[2013-05-18 13:28] [TOW STOP] Nate_Miller stopped towing vehicle #8755, owned by Jonathan Chaplin, in East Los Santos (pos = 2316.60546875, -1438.3837890625, 22.307058334351, rot = 305.34301757813, 8.338623046875, 93.609008789063, health = 803.9072265625)
[2013-05-18 13:31] [TOW] Nate_Miller started towing vehicle #8755, owned by Jonathan Chaplin, from East Los Santos (pos = 2313.53515625, -1440.5048828125, 23.141431808472, rot = 7.36083984375, 52.849731445313, 73.948974609375, health = 576.31262207031)
[2013-05-18 13:31] [TOW STOP] Nate_Miller stopped towing vehicle #8755, owned by Jonathan Chaplin, in East Los Santos (pos = 2274.609375, -1477.515625, 22.400312423706, rot = 359.56604003906, 359.13208007813, 154.29748535156, health = 576.31262207031)
[2013-05-18 13:45] [TOW] Nate_Miller started towing vehicle #9149, owned by Julios Cortez, from El Corona (pos = 1887.7158203125, -1966.4970703125, 13.346064567566, rot = 0.2691650390625, 0, 2.427978515625, health = 1000.2442626953)
[2013-05-18 13:47] [TOW STOP] Nate_Miller stopped towing vehicle #9149, owned by Julios Cortez, in Los Santos (pos = 2120.2080078125, -2815.8984375, 13.982925415039, rot = 0.4449462890625, 3.8177490234375, 271.99951171875, health = 1000.2442626953)
[2013-05-18 15:03] [TOW] James_Lopez started towing vehicle #3908, owned by false, from El Corona (pos = 1960.2421875, -2034.9912109375, 13.001041412354, rot = 359.90112304688, 359.99450683594, 181.73583984375, health = 953.84613037109)
[2013-05-18 15:03] [TOW STOP] James_Lopez stopped towing vehicle #3908, owned by false, in El Corona (pos = 1956.8564453125, -2069.017578125, 13.080302238464, rot = 359.90112304688, 354.80895996094, 179.53857421875, health = 953.84613037109)
[2013-05-18 15:04] [TOW] James_Lopez started towing vehicle #595, owned by Philip Hank, from Willowfield (pos = 2694.6552734375, -2002.05859375, 13.004658699036, rot = 359.98352050781, 358.12133789063, 272.00500488281, health = 819.53601074219)
[2013-05-18 15:05] [TOW] Carter_Adams started towing vehicle #9010, owned by Grizzle Kibwe, from Idlewood (pos = 1824.482421875, -1724.62109375, 12.964729309082, rot = 359.79675292969, 0, 21.626586914063, health = 990.96459960938)
[2013-05-18 15:07] [TOW STOP] James_Lopez stopped towing vehicle #595, owned by Philip Hank, in Los Santos International (pos = 2120.09375, -2726.9765625, 19.593446731567, rot = 359.84069824219, 3.856201171875, 268.04443359375, health = 819.53601074219)
[2013-05-18 15:10] [TOW STOP] Carter_Adams stopped towing vehicle #9010, owned by Grizzle Kibwe, in Los Santos (pos = 2152.0927734375, -2812.65234375, 14.003799438477, rot = 0.054931640625, 356.18774414063, 90.90087890625, health = 990.96459960938)
[2013-05-18 15:12] [TOW] Carter_Adams started towing vehicle #675, owned by Anthony Fucci, from Willowfield (pos = 1976.5439453125, -2102.1904296875, 13.286322593689, rot = 0.0439453125, 359.98901367188, 80.68359375, health = 951.892578125)
[2013-05-18 15:17] [TOW STOP] Carter_Adams stopped towing vehicle #675, owned by Anthony Fucci, in Ocean Docks (pos = 2208.6279296875, -2185.279296875, 13.42502117157, rot = 4.2022705078125, 351.43615722656, 353.64440917969, health = 951.892578125)
